date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-10-01,0,0,0,0,0
2023-10-02,0,0,0,0,0
2023-10-03,0,0,0,0,0
2023-10-04,0,0,0,0,0
2023-10-05,0,0,0,0,0
2023-10-06,0,0,0,0,0
2023-10-07,0,0,0,0,0
2023-10-08,0,0,0,0,0
2023-10-09,0,0,0,0,0
2023-10-10,0,0,0,0,0
2023-10-11,0,0,0,0,0
2023-10-12,0,0,0,0,0
2023-10-13,0,0,0,0,0
2023-10-14,0,0,0,0,0
2023-10-15,0,0,0,0,0
2023-10-16,0,0,0,0,0
2023-10-17,0,0,0,0,0
2023-10-18,0,0,0,0,0
2023-10-19,0,0,0,0,0
2023-10-20,0,0,0,0,0
2023-10-21,0,0,0,0,0
2023-10-22,0,0,0,0,0
2023-10-23,0,0,0,0,0
2023-10-24,0,0,0,0,0
2023-10-25,0,0,0,0,0
2023-10-26,0,0,0,0,0
2023-10-27,0,0,0,0,0
2023-10-28,0,0,0,0,0
2023-10-29,0,0,0,0,0
2023-10-30,0,0,0,0,0
2023-10-31,0,0,0,0,0
2023-11-01,0,0,0,0,0
2023-11-02,0,0,0,0,0
2023-11-03,0,0,0,0,0
2023-11-04,0,0,0,0,0
2023-11-05,0,0,0,0,0
2023-11-06,0,0,0,0,0
2023-11-07,0,0,0,0,0
2023-11-08,0,0,0,0,0
2023-11-09,0,0,0,0,0
2023-11-10,98,217,131,1916578,88
2023-11-11,128,239,133,2627596,89
2023-11-12,112,205,130,1798072,81
2023-11-13,112,151,125,1435287,73
2023-11-14,88,167,126,1442828,72
2023-11-15,95,152,122,1381838,74
2023-11-16,74,169,131,1676841,67
2023-11-17,121,210,123,1825011,102
2023-11-18,115,275,133,2673641,102
2023-11-19,79,173,89,1336550,61
2023-11-20,107,157,116,1468135,85
2023-11-21,80,166,124,1553971,66
2023-11-22,928,502,424,3848353,262
2023-11-23,997,659,463,5125913,278
2023-11-24,809,614,470,4887524,241
2023-11-25,1053,631,456,5355177,337
2023-11-26,849,348,267,2266266,165
2023-11-27,1270,373,333,2460939,252
